structure_name,operation_name,size_in_2_power_of,time_in_millisecond
array_of_sorted_arrays,insert,20,1151
array_of_sorted_arrays,insert,21,2154
array_of_sorted_arrays,insert,22,4272
array_of_sorted_arrays,insert,23,9097
array_of_sorted_arrays,insert,24,16646
array_of_sorted_arrays,insert,25,40717
array_of_sorted_arrays,insert,26,67713
array_of_sorted_arrays,insert,27,137875
array_of_sorted_arrays,insert,28,277401
array_of_sorted_arrays,insert,29,594612
L_array_of_sorted_arrays,insert,20,1488
L_array_of_sorted_arrays,insert,21,1887
L_array_of_sorted_arrays,insert,22,3658
L_array_of_sorted_arrays,insert,23,8037
L_array_of_sorted_arrays,insert,24,14976
L_array_of_sorted_arrays,insert,25,30922
L_array_of_sorted_arrays,insert,26,62512
L_array_of_sorted_arrays,insert,27,129002
L_array_of_sorted_arrays,insert,28,274083
L_array_of_sorted_arrays,insert,29,512661
